layer1node1,layer1node2,layer1node3,layer1node4,layer1node5,layer2node1
-0.018469902,-0.08642607,0.0,0.014114513,-0.01176869,
0.013677755,0.015712293,-0.07262412,-0.04941297,-0.061190225,
-0.03131193,0.05132337,0.026837904,-0.034700066,0.09183257,
-0.02862114,-0.03942776,-0.05485169,-0.059223805,-0.07172514,
0.022286952,0.010124543,-0.043426376,0.04853602,-0.028656337,
-0.026832085,0.057207834,0.028473591,0.0,0.047676187,
-0.031655572,0.05798299,0.08759267,-0.07078698,0.10277718,
-0.032976434,0.0,-0.062539764,-0.07743495,0.078850634,
0.043832626,0.083431065,-0.016048903,0.0,-0.06038242,
-0.018167522,0.01566224,-0.0467881,-0.022044374,0.042310294,
-0.012672237,-0.0377912,0.0,0.0,0.0526115,
-0.019412428,-0.035674926,-0.036526036,0.0,-0.040875893,
-0.10630289,-0.07120065,0.0,0.0,-0.034294482,
0.0,0.019085744,-0.057020374,0.042585235,0.020088114,
0.035775404,0.060137037,-0.024259223,0.0,0.0,
0.04756239,0.0,-0.022158716,0.07343965,-0.021458875,
0.0,-0.016038092,-0.017538525,-0.021842385,0.0,
0.016126558,0.0,-0.042712424,0.06589342,-0.011615212,
0.0,-0.028809281,0.010015466,-0.027252331,-0.040492777,
-0.0840686,-0.05677792,-0.035436515,0.0,-0.03464887,
-0.061968077,-0.043839738,0.07350336,0.0,0.043770313,
-0.010951075,0.0,0.014354824,-0.014634593,0.01442609,
-0.05653935,0.0,-0.011298668,-0.039229967,0.01326245,
-0.104851134,-0.038162556,0.067229,-0.014785844,-0.022331363,
-0.049164735,0.0351959,0.02489881,0.0,0.029037483,
0.058523957,0.0,0.13746853,-0.026159022,-0.031033883,
0.024577847,0.021375254,-0.04678856,-0.04000692,0.03547727,
-0.0102811195,0.062698744,-0.068151295,-0.04680645,0.0,
0.029752765,-0.060255498,0.08142333,-0.060782045,0.044065073,
-0.011286467,-0.018414613,0.0,0.021226568,-0.026784243,
-0.04627852,0.0982178,-0.09334306,0.044631068,0.026311079,
-0.02236346,-0.017278124,-0.034473084,-0.02835657,0.022251016,
-0.010295074,0.0,-0.019877046,-0.07511696,0.030251933,
-0.024455363,0.01957916,-0.028546166,-0.01781541,-0.022863656,
-0.020784149,-0.017130062,0.06493501,0.0186657,-0.0287067,
0.016283592,-0.06340968,0.026313249,-0.112454966,0.018716523,
-0.017112872,0.0,0.117318,-0.042577103,0.0,
0.037465915,0.010369597,0.07683401,-0.011707766,-0.058636628,
-0.11877884,0.028442638,0.059446976,0.037560746,-0.040812384,
0.0,0.0,0.09140236,0.046756145,0.01368736,
-0.07912928,0.06788572,0.0232824,0.032138456,0.051813845,
-0.021665068,0.04192181,-0.0370908,-0.037894044,-0.04979931,
0.067452975,0.018314114,0.08036964,0.02339844,0.03706602,
-0.01700848,0.028865615,0.016016163,0.03982428,0.0,
-0.042429324,0.053661034,0.0,-0.053091887,-0.04048927,
0.037487086,-0.053383116,-0.031945594,-0.04009746,0.027026286,
0.030142099,-0.041034162,-0.016092455,0.010274337,-0.03324685,
-0.05116559,0.098928824,0.013842814,0.03996929,0.0,
-0.015498613,-0.018850084,-0.021911547,-0.12370024,0.0,
0.0,-0.03147997,0.06317846,-0.013929516,0.020098154,
0.0,-0.054199927,0.0,0.039491143,0.0766569,
0.094924524,-0.019625835,0.0,0.0,0.02882827,
-0.013730585,-0.047209337,0.065781794,0.02054206,0.088526234,
0.010571493,0.09916396,-0.0184924,0.045475777,0.044924866,
-0.041526683,0.0,-0.04336877,0.05673681,0.097403646,
-0.021786707,0.022995068,-0.010802923,-0.051169463,-0.010372288,
-0.09193544,0.0,0.0,0.10620858,0.0,
-0.04962012,0.0,0.04835349,-0.031134345,-0.06097925,
-0.05606142,0.043971647,0.0,0.02983303,0.0,
-0.03422662,0.0562021,0.030904546,-0.069193296,-0.052778743,
0.0,0.011341357,0.0,0.0,0.035445947,
0.028419588,0.04486497,0.0,-0.09153962,-0.031405415,
0.05500568,0.032145698,0.019418765,-0.030295666,0.09335271,
-0.032554265,-0.01633254,-0.017992923,0.028956905,-0.012829777,
0.0,0.01681873,0.09168451,-0.012896627,0.052225407,
0.042260256,0.021641145,0.061549835,-0.042668883,-0.017974297,
-0.058500666,0.015929626,0.042072233,0.0,0.060981713,
0.01836842,0.05009778,0.019574244,0.022788523,-0.033249855,
-0.033060845,-0.011499837,-0.011883425,-0.058935307,0.0,
-0.10008076,0.054126717,0.089374974,0.020309132,0.0,
0.0,0.066073745,-0.048319582,0.0,-0.054683883,
-0.089482814,0.0,0.011343109,0.0,-0.037721228,
0.042478736,0.028005952,0.029129744,-0.022441389,0.04915777,
0.0,-0.02999457,-0.050203443,0.0,0.11312895,
-0.08767612,0.028647363,0.021382134,0.0,0.06975489,
0.022177327,0.028961942,-0.054816008,-0.04838744,-0.067017436,
0.025421908,0.0,0.022675738,0.0,-0.02119582,
-0.057331797,0.026901376,-0.036677618,-0.034903973,-0.017058628,
0.016708419,0.0,-0.03766862,0.026204621,-0.013044518,
0.027179746,0.0,0.08271868,0.05237905,0.0,
-0.035314403,0.0,0.0,-0.020722803,0.03779894,
-0.015803846,0.042136602,0.067950316,-0.066116385,0.019498916,
-0.013486189,-0.031868894,0.04203571,-0.04691112,-0.011024376,
0.06883576,-0.0221874,-0.061677154,-0.018442232,-0.06988507,
-0.025773197,0.0,0.028140888,0.05414956,0.0,
0.059926324,0.043236207,-0.031352136,0.022029277,0.048209578,
0.03260088,0.04778003,0.03866445,-0.094063595,0.030954463,
0.014210241,0.021211883,-0.031083288,0.036104627,0.0,
-0.046059694,0.040971674,-0.026951544,-0.010599361,-0.09662559,
-0.054480232,-0.01542708,-0.02926851,-0.051053185,-0.020986518,
0.014706567,0.05385456,0.0,0.017210366,0.0,
-0.026571939,0.0,0.05044333,-0.07182234,0.0230326,
-0.07709572,0.0,0.018487852,0.040790446,0.0,
0.0,0.0,0.0,-0.030236201,0.066922605,
0.0254483,0.011572209,0.04900403,-0.02614258,0.0,
-0.046650987,0.04661589,0.06954239,-0.03651122,-0.02728659,
0.0,0.0,0.013694475,-0.020729423,-0.026596282,
0.0,0.0,-0.068990745,0.05376318,0.04270022,
-0.035310425,0.026153667,-0.0171666,0.0,0.03131692,
-0.031020824,-0.03182278,-0.04333578,-0.023201972,0.047813952,
0.0,0.0,0.0,0.0,0.06097345,
0.0,0.045618106,-0.036176145,-0.027781218,-0.05781663,
0.01814086,0.09140634,0.07631327,-0.040507123,0.039735608,
-0.054132,0.06422958,0.0,0.04833034,0.0,
0.05315796,0.046197325,0.0,0.015755128,-0.07149122,
-0.042871416,0.024354203,0.0,-0.010546649,0.0,
0.035590872,-0.039354086,0.048166342,0.033113036,-0.03511633,
0.07586738,0.117987394,0.049632046,0.055146873,0.020296365,
0.037142288,0.014110324,0.053957656,0.0,0.0,
0.0,0.09831391,-0.0265411,0.032069184,-0.08177994,
0.028807264,-0.094026655,-0.04436293,-0.08014365,0.021241171,
-0.056706853,-0.019051673,0.03507373,0.050444007,0.048821677,
-0.05784451,-0.0717203,0.011608976,-0.023474976,0.025230099,
0.06338721,-0.03423103,0.0,0.0,0.0332525,
0.0,0.030735457,0.04040167,-0.028127132,0.031283136,
0.020487968,0.0,0.019240636,-0.05579087,0.0,
0.0,0.057582136,0.050737094,-0.07324265,0.0,
